"JD" "wind mean" "wind max" "t air"
244.03 4.448 5.274 -5.674
244.06 5.447 5.865 -5.194
244.09 5.712 6.574 -5.221
244.12 5.822 6.77 -5.46
244.15 1.464 2.841 -3.921
244.18 4.429 5.263 -4.118
244.21 2.829 3.836 -4.922
245 4.194 5.214 -10.296
245.03 6.359 7.59 -6.616
245.06 11.85 14.46 -15.393
245.09 12.47 14.36 -15.856
245.12 7.59 10.5 -13.212
245.15 6.546 7.08 -9.911
245.18 5.963 6.762 -8.553
245.21 4.316 4.655 -8.141
246 4.156 4.391 -7.574
246.03 4.698 5.797 -7.273
246.06 4.38 5.393 -6.79
246.09 2.955 3.376 -7.473
246.12 3.847 4.382 -7.399
246.15 5.507 7.05 -5.666
246.18 7.68 11.06 -5.209
246.21 11.63 13.04 -6.636
247 10.91 11.61 -7.599
247.03 12.22 13.11 -6.009
247.06 13.61 14.64 -5.422
247.09 13.98 15.13 -5.206
247.12 13.78 15 -3.534
247.15 12.58 14.78 -1.419
247.18 10.14 10.71 1.18
247.21 9.72 10.99 2.578
248 10.86 12.37 3.961
248.03 12.56 14.26 3.21
248.06 9.71 14.88 -0.862
248.09 9.14 13.2 0.449
248.12 10.13 11.5 -0.39
248.15 8.17 10.05 1.745
248.18 9.05 12.03 1.846
248.21 1.192 12.29 2.464
249 13.99 16.73 1.949
249.03 18.94 22.44 0.606
249.06 14.55 17.58 -1.392
249.09 13.31 16.46 -0.768
249.12 11.72 14.02 -0.333
249.15 9.38 11.43 -0.712
249.18 8.72 9.83 0.09
249.21 8.08 9.46 -0.17
250 6.617 8.93 -1.244
250.03 2.205 7.1 -2.129
250.06 0 0 -3.362
250.09 0 0 -4.274
250.12 0 0 -5.102
250.15 3.49 7.32 -3.362
250.18 5.733 6.253 -2.752
250.21 3.623 4.597 -3.509
251 3.804 4.769 -4.524
251.03 4.604 5.144 -5.506
251.06 5.285 5.944 -11.162
251.09 5.948 7.08 -10.812
251.12 7.56 8.58 -10.004
251.15 8.67 9.33 -7.248
251.18 7.9 8.76 -6.506
251.21 7.09 7.72 -8.408
252 9.32 10.71 -10.05
252.03 11.24 12.56 -9.958
252.06 9.43 10.13 -8.189
252.09 8.01 8.79 -4.24
252.12 6.463 7.43 -2.174
252.15 6.272 6.836 -1.299
252.18 5.258 6.609 -1.731
252.21 3.854 4.693 -1.151
253 3.245 3.98 -2.093
253.03 2.565 3.667 -2.424
253.06 2.787 3.228 -2.717
253.09 3.217 4.754 -4.384
253.12 4.287 5.216 -6.764
253.15 3.272 4.054 -5.345
