day_of_year ISWR ISWR2 OSWR NR
167.083 193.812 191.661 159.621 18.723
167.084 192.108 190.496 156.973 20.421
167.084 137.905 137.128 114.605 13.190
167.085 125.019 124.103 104.543 12.231
167.085 125.871 125.162 104.967 12.498
167.085 113.199 112.455 95.222 9.652
167.088 107.981 107.161 90.773 9.291
167.088 120.334 118.597 99.141 12.639
167.088 113.092 111.714 92.998 12.152
167.089 89.132 88.418 73.932 10.737
167.089 81.997 81.112 68.001 10.156
167.090 79.655 78.994 66.094 9.700
167.092 73.478 72.746 61.116 8.521
167.092 66.769 66.287 55.714 8.505
167.093 66.663 66.181 55.078 8.804
167.093 75.714 75.500 61.645 10.942
167.093 71.242 71.052 57.938 8.631
167.094 68.473 68.299 55.290 9.181
167.096 57.824 57.922 47.240 6.493
167.096 47.388 47.333 39.402 5.738
167.097 47.495 47.439 39.508 8.615
167.097 51.435 51.357 42.474 8.489
167.097 44.726 44.791 37.072 7.782
167.098 42.809 42.674 34.954 7.389
168.000 45.152 45.215 36.648 7.955
168.000 34.503 34.626 28.704 5.549
168.001 29.604 29.649 24.468 4.842
168.001 29.178 29.226 24.150 3.804
168.002 31.415 31.343 25.633 4.072
168.002 32.373 32.508 26.162 5.093
168.004 28.113 28.167 22.879 3.852
168.005 26.516 26.578 21.502 3.804
168.005 21.298 21.390 17.583 2.845
168.005 18.316 18.213 15.147 2.075
168.006 17.464 17.154 14.405 2.405
168.006 16.506 16.201 13.664 2.468
168.008 14.483 14.189 12.181 2.169
168.009 12.992 12.707 10.910 1.698
168.009 11.714 11.330 9.639 1.761
168.010 11.927 11.542 9.215 1.462
168.010 10.755 10.483 8.156 1.289
168.010 9.478 9.107 7.097 0.126
168.012 9.158 9.001 7.203 0.000
168.013 9.584 9.530 7.414 0.126
168.013 9.904 9.742 7.626 0.582
168.014 10.543 10.377 8.156 0.817
168.014 9.158 9.001 7.203 0.786
168.015 8.306 8.259 6.461 1.006
168.017 8.306 8.259 6.567 0.817
