"year" "date.time" "v(m/s)" "vdir" "temp" "year.date" "sw_in(w/m2)" "sw_out(W/m2)"
2005 171.583 8.15 122.3 2.61 2005.470090411 761.4 496.6
2005 171.625 7.9 120.9 2.63 2005.4702054795 798.7 513.1
2005 171.667 7.65 121.9 2.67 2005.4703205479 806.1 510.4
2005 171.708 7.26 122.5 2.68 2005.4704328767 785.9 492
2005 171.75 7.17 124.6 2.59 2005.4705479452 741.6 460.2
2005 171.792 7.43 127.4 2.55 2005.4706630137 672.3 413.8
2005 171.833 7.01 130.3 2.42 2005.4707753425 582.1 356.5
2005 171.875 6.72 127 2.31 2005.470890411 477.2 292.5
2005 171.917 6.71 126 2.1 2005.4710054795 371.7 225.7
2005 171.958 6.85 125.8 1.7 2005.4711178082 270.3 162.4
2005 172 6.91 123 1.25 2005.4712328767 183.2 106.3
2005 172.042 6.15 123.7 0.71 2005.4713479452 115.5 65.7
2005 172.083 6.67 126.6 0.31 2005.471460274 62.8 39.7
2005 172.125 6.4 125.8 -0.06 2005.4715753425 37 26.4
2005 172.167 6.72 123.9 0.23 2005.471690411 21 24
2005 172.208 7.23 110 -0.26 2005.4718027397 34.9 26.7
2005 172.25 7.88 108.7 -0.14 2005.4719178082 79.9 58
2005 172.292 7.18 114.6 0 2005.4720328767 132.4 93.9
2005 172.333 8.15 122 1.13 2005.4721452055 302.4 212.7
2005 172.375 8.91 122.7 1.47 2005.472260274 346.5 239.4
2005 172.417 8.53 125.4 1.47 2005.4723753425 277.2 189.2
2005 172.458 7.79 125 1.75 2005.4724876712 347.2 233.5
2005 172.5 7.09 124 2.03 2005.4726027397 485 323.2
2005 172.542 7.3 125.3 2.29 2005.4727178082 589.8 392.5
2005 172.583 7.04 126.5 2.59 2005.472830137 784.8 519.1
2005 172.625 7.79 126.2 2.81 2005.4729452055 797.6 515.2
2005 172.667 8.24 124.4 2.88 2005.473060274 790.2 501.6
2005 172.708 5.98 124.4 2.86 2005.4731726027 682.6 436.1
2005 172.75 6.26 128 2.72 2005.4732876712 521.2 334.2
2005 172.792 6.41 145.6 2.39 2005.4734027397 381.3 255.5
2005 172.833 5.74 146.6 2.26 2005.4735150685 401.9 261.2
2005 172.875 6.24 151.2 2.11 2005.473630137 298.5 195.8
2005 172.917 6.27 147.8 1.87 2005.4737452055 188.1 124.8
2005 172.958 6.63 154.5 0.94 2005.4738575342 112.9 75.2
2005 173 6.9 137 0.84 2005.4739726027 68.5 38.4
2005 173.042 9.04 147.7 1.12 2005.4740876712 32.4 20.1
2005 173.083 7.23 152.9 0.49 2005.4742 19.6 11.4
2005 173.125 7.65 145.7 0.59 2005.4743150685 16.6 9.5
2005 173.167 7.86 155.4 0.17 2005.474430137 15.2 8.9
2005 173.208 7.1 152 0.02 2005.4745424658 23.4 13
2005 173.25 6.7 148.1 0.13 2005.4746575342 22.3 12.6
2005 173.292 6.36 147.3 0.18 2005.4747726027 38.7 22.3
2005 173.333 6.52 159.8 0.17 2005.4748849315 77.6 46.3
2005 173.375 7.34 156.3 -0.13 2005.475 123 74.2
2005 173.417 6.98 151.4 0.27 2005.4751150685 230.9 131.5
2005 173.458 6.87 147.1 0.77 2005.4752273973 322.1 188.3
2005 173.5 7.56 145 1.42 2005.4753424658 401.6 243.2
2005 173.542 7.45 152.6 1.35 2005.4754575342 395.6 250.3
2005 173.583 7.48 159.5 1.41 2005.475569863 521.6 328.7
2005 173.625 6.02 157.7 1.32 2005.4756849315 573.1 366.1
2005 173.667 5.45 145.7 1.28 2005.4758 422.6 278.5
2005 173.708 5.09 140.6 1.42 2005.4759123288 525.8 341.5
2005 173.75 5.51 143.8 1.56 2005.4760273973 521.5 340.2
2005 173.792 5.99 140 1.86 2005.4761424658 519.7 337.2
2005 173.833 6.89 147.5 1.84 2005.4762547945 461.5 299.7
2005 173.875 5.96 138.9 1.51 2005.476369863 395.4 258.9
2005 173.917 6.15 131.3 1.61 2005.4764849315 335.2 218.9
2005 173.958 6.04 125.8 1.44 2005.4765972603 146.1 97
2005 174 6.11 124 1.43 2005.4767123288 130.6 85.6
2005 174.042 5.65 124.6 1.36 2005.4768273973 50.9 34.2
2005 174.083 5.49 120.3 1.59 2005.476939726 38.7 25.6
2005 174.125 6.59 113.9 1.79 2005.4770547945 20.7 13.8
2005 174.167 6.55 108 1.92 2005.477169863 25.8 16.9
2005 174.208 6.61 116.8 2.05 2005.4772821918 20.1 13.7
2005 174.25 7.15 120 2.14 2005.4773972603 38.4 25.3
2005 174.292 8.37 112.3 2.15 2005.4775123288 71.6 48.8
2005 174.333 10.39 117.7 2.54 2005.4776246575 202 135.4
2005 174.375 11.63 123.1 2.54 2005.477739726 215.5 141.9
2005 174.417 12.45 125.8 2.96 2005.4778547945 316.5 210.5
2005 174.458 13.5 124.4 2.76 2005.4779671233 387.1 256.1
2005 174.5 13.43 119.9 2.89 2005.4780821918 517.3 346.2
2005 174.542 11.88 126.1 3.13 2005.4781972603 633.8 417.5
2005 174.583 11.06 126.4 3.1 2005.478309589 651.2 424.1
2005 174.625 9.78 127.1 2.78 2005.4784246575 529.7 348.5
2005 174.667 11.44 142.6 2.52 2005.478539726 428.5 286.8
2005 174.708 11.08 135.2 2.31 2005.4786520548 390.3 260.5
2005 174.75 10.72 134.2 2.42 2005.4787671233 486.6 314.1
2005 174.792 10.4 140.2 2.37 2005.4788821918 382.9 252.5
2005 174.833 10.25 145 1.91 2005.4789945205 272 179.4
