"TIMESTAMP" "RECORD" "year.jd" "Year" "Day_of_Year" "Hour" "sw_in_Avg" "sw_ref_Avg" "net_rad_Avg" "tc_air_Avg" "t_air_Avg(1)" "t_air_Avg(2)" "rh_Avg(1)" "rh_Avg(2)" "U_Avg(1)" "U_Avg(2)" "Dir_Avg(1)" "Dir_Avg(2)" "pressure_Avg" "SD_1_Avg" "SD_2_Avg" "tc_air_Max" "tc_air_Min" "U_Max(1)" "U_Max(2)" "Battery"
"2014-05-09 21:00:00" 0 2014.3558219178 2014 129 21 3.154 1.857 6.891 -4.532 -2.439 -1.69 63.92 58.94 4.861 6.574 32.64 73.57 565 0.98 1.004 -3.937 -4.96 6.083 7.677 13.57
"2014-05-09 22:00:00" 1 2014.3559360731 2014 129 22 2.383 1.37 4.299 -4.16 -3.516 -2.609 67.59 62 5.186 7.13 32.76 78.54 582.6 1.016 1.033 -3.558 -5.349 5.919 7.853 13.32
"2014-05-09 23:00:00" 2 2014.3560502283 2014 129 23 1.513 0.831 0.142 -4.448 -4.406 -3.399 66.36 60.33 6.186 7.484 28.64 74.14 582.7 1.017 1.037 -3.837 -5.025 8.63 8.38 13.2
"2014-05-10 00:00:00" 3 2014.3561643836 2014 130 0 0.702 0.427 -3.375 -5.366 -5.383 -4.447 66.6 59.82 7.091 7.175 25.99 72.17 582.8 1.011 1.039 -4.666 -6.056 8.17 8.45 13.14
"2014-05-10 01:00:00" 4 2014.3562785388 2014 130 1 0.169 0.123 -3.419 -6.585 -6.706 -5.73 67.46 60.65 6.956 7.364 29.55 75.49 582.9 1.013 1.041 -5.918 -7.073 8.28 8.49 13.07
"2014-05-10 02:00:00" 5 2014.3563926941 2014 130 2 0.031 0.025 -3.223 -7.534 -7.699 -6.824 67.47 60.99 6.863 7.541 23.14 69.6 583 1.021 1.041 -6.834 -8.32 8.05 8.45 13.06
"2014-05-10 03:00:00" 6 2014.3565068493 2014 130 3 0.01 0.008 -3.214 -8.39 -8.62 -7.764 68.83 61.87 7.59 7.018 23.8 71.27 582.9 1.025 1.044 -8.05 -8.77 8.99 8.01 13.01
"2014-05-10 04:00:00" 7 2014.3566210046 2014 130 4 0.008 0.006 -3.201 -9.46 -9.65 -8.86 69.74 62.88 8.06 7.075 23.1 68.81 582.8 1.026 1.003 -8.74 -10.14 9.3 7.833 13.02
"2014-05-10 05:00:00" 8 2014.3567351598 2014 130 5 0.02 0.016 -3.167 -10.53 -10.76 -10.01 70.3 63.69 8.54 7.409 23.84 70.45 582.7 1.033 1.025 -9.86 -11.09 10.43 8.53 13
"2014-05-10 06:00:00" 9 2014.3568493151 2014 130 6 0.102 0.097 -3.305 -11.28 -11.51 -10.8 70.39 63.83 8.98 7.691 27.84 73.76 582.6 1.03 1.049 -10.76 -11.85 10.9 8.98 12.97
