"chan" "JD 94/95" "GMT" "Net Rad" "Pressure" "t1" "t2" "t3" "t4" "t5" "t5" "t7" "t8" "t9" "t10" "volt"
102 165 1800 3.285 78.7 1.199 -5.611 -4.398 1.076 -1.307 1.217 -2.885 1.093 -0.441 -5.147 12.97
102 165 1900 1.367 78.7 1.354 -5.65 -4.258 1.195 -0.922 1.301 -2.569 1.424 -0.268 -5.114 12.92
102 165 2000 0.651 78.2 1.773 -5.671 -4.137 1.79 -0.536 1.79 -2.182 1.896 -0.166 -5.082 12.86
102 165 2100 0.068 77.6 1.359 -5.662 -4.039 1.429 -0.758 1.183 -2.138 1.464 -0.157 -5.001 12.76
102 165 2200 -1.515 76.9 1.066 -5.708 -4.103 0.961 -1.016 0.908 -2.308 1.119 -0.062 -5.048 12.67
102 165 2300 -2.582 76.5 0.522 -5.762 -4.084 0.733 -0.961 0.751 -2.236 0.645 -0.078 -5.047 12.64
102 166 0 -1.96 76.3 0.941 -5.82 -4.018 1.011 -0.86 1.046 -2.063 0.905 -0.118 -5.07 12.63
102 166 100 -3.215 76.3 0.911 -5.85 -3.959 1.07 -0.854 0.982 -1.987 0.841 -0.129 -5.064 12.6
102 166 200 -1.539 76.1 1.663 -5.909 -3.857 1.733 -0.682 1.681 -1.797 1.557 -0.135 -5.052 12.58
102 166 300 -0.561 76 1.683 -5.906 -3.783 1.824 -0.679 1.754 -1.706 1.543 -0.114 -4.995 12.55
102 166 400 -0.269 75.4 2.043 -5.934 -3.74 2.184 -0.689 2.096 -1.662 1.814 -0.142 -5.005 12.53
102 166 500 -0.443 75.5 1.773 -5.939 -3.674 1.931 -0.589 1.808 -1.562 1.509 -0.13 -5.01 12.53
102 166 600 0.318 75.5 1.261 -5.94 -3.604 1.279 -0.573 1.261 -1.51 1.121 -0.113 -4.976 12.55
102 166 700 1.054 75.3 0.915 -5.99 -3.599 0.915 -0.568 0.879 -1.487 0.791 -0.126 -5.007 12.58
102 166 800 1.18 75.1 1.154 -5.997 -3.535 1.207 -0.433 1.172 -1.335 0.978 -0.08 -4.996 12.67
102 166 900 1.412 74.6 1.363 -6.017 -3.484 1.345 -0.33 1.275 -1.231 1.257 -0.012 -4.999 12.78
102 166 1000 1.737 75.3 1.088 -6.028 -3.371 0.894 -0.164 0.877 -1.047 0.965 0.33 -4.956 12.88
102 166 1100 2.176 75 1.343 -6.037 -3.255 1.202 -0.085 1.132 -0.774 1.238 0.55 -4.947 12.93
102 166 1200 2.845 75.3 2.169 -6.037 -3.131 1.87 0.02 1.307 -0.633 1.641 0.849 -4.929 13.03
102 166 1300 2.633 75 2.139 -6.012 -2.894 1.682 0.22 1.33 -0.256 1.594 0.943 -4.851 13.05
102 166 1400 2.678 75 2.272 -5.985 -2.76 2.413 0.354 1.287 -0.087 1.833 1.199 -4.789 13.06
102 166 1500 1.83 75 2.146 -5.95 -2.584 2.586 0.545 1.338 -0.037 1.936 1.355 -4.647 13.08
102 166 1600 2.052 75.2 2.358 -5.842 -1.927 3.446 0.881 1.936 0.017 2.393 1.743 -4.343 13.18
102 166 1700 0.906 75.7 0.222 -5.759 -1.668 1.631 0.645 0.628 0.081 0.24 0.592 -4.171 13.09
102 166 1800 -0.216 76.2 -0.958 -5.704 -1.064 0.049 0.243 -0.392 0.049 -0.905 0.049 -3.92 13.1
102 166 1900 -0.074 76.7 -1.832 -5.749 -1.584 -1.549 0.095 -1.85 -0.063 -1.832 0.025 -4.142 13.09
102 166 2000 0.16 77.2 -2.797 -5.809 -1.981 -2.726 0 -2.939 -0.105 -2.815 -0.405 -4.22 12.95
102 166 2100 -0.183 77.5 -4.005 -5.791 -2.05 -3.934 -0.173 -4.166 -0.173 -3.934 -0.774 -4.13 12.92
102 166 2200 0.02 77.5 -4.391 -5.714 -1.972 -4.356 -0.484 -4.427 -0.378 -4.373 -0.979 -4.017 12.84
102 166 2300 0.079 77.4 -4.601 -5.584 -1.913 -4.458 -0.655 -4.637 -0.602 -4.53 -1.186 -3.923 12.82
102 167 0 0.189 77.4 -5.058 -5.397 -1.869 -5.075 -0.788 -5.129 -0.77 -4.968 -1.426 -3.79 12.75
102 167 100 -0.01 76.9 -4.971 -5.168 -1.784 -4.989 -0.897 -5.061 -0.915 -4.918 -1.5 -3.633 12.7
102 167 200 0.027 76.4 -4.86 -4.86 -1.69 -4.842 -0.946 -4.914 -0.946 -4.806 -1.584 -3.486 12.67
102 167 300 -0.055 75.4 -4.628 -4.592 -1.637 -4.682 -1.034 -4.682 -0.981 -4.646 -1.69 -3.344 12.64
102 167 400 -0.129 74.6 -4.481 -4.356 -1.58 -4.464 -1.031 -4.535 -0.96 -4.464 -1.651 -3.215 12.63
102 167 500 -0.379 73 -4.381 -4.131 -1.516 -4.381 -1.073 -4.417 -0.949 -4.452 -1.729 -3.08 12.64
102 167 600 -0.044 72 -3.799 -3.959 -1.505 -3.781 -0.991 -3.799 -0.902 -3.816 -1.593 -2.979 12.69
102 167 700 -1.284 70.1 -5.168 -3.722 -1.446 -4.989 -1.18 -5.096 -0.967 -5.365 -1.836 -2.814 12.69
102 167 800 -0.727 68.68 -3.98 -3.677 -1.437 -3.802 -0.905 -3.891 -0.799 -3.98 -1.738 -2.804 12.81
102 167 900 -7.3 67.75 -2.59 -3.551 -1.329 -3.052 -0.568 -2.91 -0.568 -2.892 -1.276 -2.679 13.08
