"ID","year","JD","hourminute","dewpoint_T","Ambient_T","Battery"
102,2000,139,20,-2.955,-0.1084,12.36
102,2000,139,2110,-2.862,-0.237,12.36
102,2000,139,2120,-2.792,-0.3705,12.36
102,2000,139,2130,-2.769,-0.4036,12.36
102,2000,139,2140,-2.59,-0.4714,12.36
102,2000,139,2150,-2.823,-0.724,12.36
102,2000,139,2200,-3.029,-0.972,12.36
102,2000,139,2210,-3.283,-1.07,12.36
102,2000,139,2220,-3.429,-1.311,12.36
102,2000,139,2230,-3.36,-1.682,12.36
102,2000,139,2240,-3.841,-2.086,12.36
102,2000,139,2250,-4.617,-2.22,12.36
102,2000,139,2300,-5.382,-2.354,12.36
102,2000,139,2310,-5.568,-2.55,12.36
102,2000,139,2320,-5.718,-2.689,12.36
102,2000,139,2330,-5.741,-2.781,12.36
102,2000,139,2340,-5.707,-2.853,12.36
102,2000,139,2350,-5.634,-2.937,12.36
102,2000,140,0,-5.49,-2.948,12.36
103,2000,140,10,-5.193,-2.936,12.36
103,2000,140,20,-5.129,-2.946,12.36
103,2000,140,30,-4.969,-3.035,12.36
103,2000,140,40,-4.767,-2.889,12.36
103,2000,140,50,-5.035,-2.859,12.36
103,2000,140,100,-5.737,-3.038,12.36
103,2000,140,110,-5.183,-3.224,12.36
103,2000,140,120,-5.701,-3.254,12.36
103,2000,140,130,-5.668,-3.244,12.36
103,2000,140,140,-5.896,-3.364,12.36
103,2000,140,150,-5.99,-3.487,12.35
103,2000,140,200,-6.118,-3.565,12.35
103,2000,140,210,-6.252,-3.642,12.35
103,2000,140,220,-6.25,-3.735,12.35
103,2000,140,230,-6.462,-3.752,12.35
103,2000,140,240,-6.437,-3.809,12.35
103,2000,140,250,-6.672,-3.743,12.35
103,2000,140,300,-6.792,-3.699,12.35
103,2000,140,310,-6.737,-3.71,12.35
103,2000,140,320,-6.664,-3.753,12.34
103,2000,140,330,-6.75,-3.639,12.34
103,2000,140,340,-6.733,-3.653,12.34
103,2000,140,350,-6.802,-3.629,12.34
103,2000,140,400,-3.899,-3.461,12.34
103,2000,140,410,-3.607,-3.566,12.29
103,2000,140,420,-6.477,-3.512,12.33
103,2000,140,430,-5.394,-3.386,12.34
103,2000,140,440,-4.869,-3.036,12.34
103,2000,140,450,-4.348,-2.834,12.34
103,2000,140,500,-4.032,-2.656,12.34
103,2000,140,510,-3.622,-2.417,12.33
103,2000,140,520,-3.544,-2.28,12.33
103,2000,140,530,-3.456,-2.215,12.33
103,2000,140,540,-3.384,-2.066,12.33
103,2000,140,550,-3.31,-1.94,12.33
103,2000,140,600,-3.199,-1.887,12.33
103,2000,140,610,-3.237,-1.87,12.33
103,2000,140,620,-3.294,-1.85,12.33
103,2000,140,630,-3.294,-1.73,12.33
103,2000,140,640,-3.236,-1.607,12.33
103,2000,140,650,-3.192,-1.545,12.33
103,2000,140,700,-3.192,-1.466,12.33
103,2000,140,710,-3.219,-1.457,12.32
103,2000,140,720,-3.294,-1.535,12.32
103,2000,140,730,-3.295,-1.625,12.32
103,2000,140,740,-3.351,-1.741,12.32
103,2000,140,750,-3.311,-1.82,12.32
103,2000,140,800,-3.727,-2.231,12.32
103,2000,140,810,-3.995,-2.672,12.32
103,2000,140,820,-3.979,-2.633,12.32
103,2000,140,830,-4.113,-2.741,12.32
103,2000,140,840,-4.384,-3.071,12.32
103,2000,140,850,-4.131,-2.725,12.32
103,2000,140,900,-4.423,-2.762,12.32
103,2000,140,910,-4.372,-2.738,12.32
103,2000,140,920,-4.428,-2.683,12.39
103,2000,140,930,-4.454,-2.456,12.36
103,2000,140,940,-4.299,-2.214,12.4
103,2000,140,950,-4.204,-1.889,12.46
103,2000,140,1000,-4.441,-2.134,12.46
103,2000,140,1010,-4.633,-2.327,12.47
103,2000,140,1020,-4.695,-2.268,12.48
103,2000,140,1030,-4.609,-2.198,12.49
103,2000,140,1040,-4.204,-1.872,12.4
103,2000,140,1050,-4.022,-1.507,12.43
103,2000,140,1100,-3.987,-1.489,12.39
103,2000,140,1110,-3.781,-1.387,12.35
103,2000,140,1120,-3.597,-1.212,12.36
103,2000,140,1130,-3.414,-0.979,12.35
103,2000,140,1140,-3.141,-0.729,12.35
103,2000,140,1150,-3.053,-0.671,12.34
103,2000,140,1200,-3.15,-0.735,12.34
103,2000,140,1210,-3.244,-0.914,12.33
103,2000,140,1220,-3.274,-1.027,12.33
103,2000,140,1230,-3.203,-1.047,12.34
103,2000,140,1240,-3.101,-1.081,12.34
103,2000,140,1250,-3.055,-0.993,12.35
103,2000,140,1300,-2.933,-0.913,12.34
103,2000,140,1310,-2.937,-0.837,12.34
103,2000,140,1320,-2.938,-0.754,12.34
103,2000,140,1330,-2.97,-0.792,12.34
103,2000,140,1340,-2.828,-0.693,12.34
103,2000,140,1350,-2.747,-0.569,12.33
103,2000,140,1400,-2.609,-0.355,12.33
103,2000,140,1410,-2.904,-0.353,12.32
103,2000,140,1420,-3.122,-0.482,12.32
103,2000,140,1430,-3.249,-0.466,12.32
103,2000,140,1440,-3.213,-0.41,12.32
103,2000,140,1450,-3.457,-0.477,12.32
103,2000,140,1500,-3.38,-0.67,12.32
103,2000,140,1510,-3.229,-0.725,12.31
103,2000,140,1520,-3.232,-0.827,12.3
103,2000,140,1530,-3.069,-0.792,12.3
103,2000,140,1540,-3.043,-0.734,12.3
103,2000,140,1550,-2.917,-0.664,12.29
103,2000,140,1600,-2.717,-0.637,12.29
103,2000,140,1610,-2.426,-0.583,12.29
103,2000,140,1620,-2.18,-0.539,12.29
103,2000,140,1630,-2.26,-0.733,12.29
103,2000,140,1640,-2.059,-0.837,12.29
103,2000,140,1650,-2.092,-0.836,12.29
103,2000,140,1700,-2.227,-0.874,12.29
103,2000,140,1710,-2.377,-1.02,12.29
103,2000,140,1720,-2.803,-1.327,12.29
103,2000,140,1730,-2.86,-1.436,12.29
103,2000,140,1740,-2.833,-1.368,12.29
103,2000,140,1750,-3.004,-1.511,12.29
103,2000,140,1800,-3.043,-1.534,12.29
103,2000,140,1810,-3.027,-1.387,12.28
103,2000,140,1820,-3.087,-1.165,12.28
103,2000,140,1830,-3.132,-1.037,12.28
103,2000,140,1840,-3.002,-0.898,12.27
103,2000,140,1850,-2.88,-0.662,12.27
103,2000,140,1900,-3.023,-0.667,12.27
103,2000,140,1910,-3.198,-0.558,12.27
103,2000,140,1920,-3.521,-0.522,12.27
103,2000,140,1930,-3.805,-0.797,12.27
103,2000,140,1940,-3.767,-0.995,12.27
103,2000,140,1950,-3.494,-1.036,12.26
103,2000,140,2000,-3.503,-1.036,12.26
103,2000,140,2010,-3.517,-1.055,12.26
103,2000,140,2020,-3.68,-1.056,12.26
103,2000,140,2030,-3.848,-1.066,12.26
103,2000,140,2040,-3.896,-1.181,12.26
103,2000,140,2050,-3.871,-1.236,12.25
103,2000,140,2100,-4.054,-1.219,12.25
103,2000,140,2110,-4.158,-1.246,12.25
103,2000,140,2120,-4.289,-1.357,12.25
103,2000,140,2130,-4.464,-1.544,12.25
103,2000,140,2140,-4.647,-1.665,12.25
103,2000,140,2150,-5.008,-1.732,12.24
103,2000,140,2200,-5.26,-1.819,12.24
103,2000,140,2210,-5.64,-1.959,12.24
103,2000,140,2220,-6.058,-2.044,12.24
103,2000,140,2230,-6.351,-2.224,12.24
103,2000,140,2240,-6.597,-2.715,12.24
103,2000,140,2250,-6.823,-3.146,12.24
103,2000,140,2300,-7.1,-3.25,12.23
103,2000,140,2310,-7.23,-3.432,12.24
103,2000,140,2320,-7.39,-3.592,12.23
103,2000,140,2330,-7.42,-3.817,12.23
103,2000,140,2340,-7.44,-4.073,12.23
103,2000,140,2350,-7.49,-4.229,12.23
103,2000,141,0,-7.68,-4.418,12.23
103,2000,141,10,-7.83,-4.682,12.22
103,2000,141,20,-7.97,-4.849,12.22
103,2000,141,30,-8.01,-5.02,12.22
103,2000,141,40,-8.09,-5.283,12.22
103,2000,141,50,-8.28,-5.409,12.22
103,2000,141,100,-8.36,-5.611,12.22
103,2000,141,110,-8.45,-5.73,12.22
103,2000,141,120,-8.5,-5.758,12.21
103,2000,141,130,-8.6,-5.985,12.21
103,2000,141,140,-8.64,-6.1,12.21
103,2000,141,150,-8.71,-6.266,12.21
103,2000,141,200,-8.88,-6.442,12.21
103,2000,141,210,-9,-6.545,12.21
103,2000,141,220,-9.08,-6.721,12.21
103,2000,141,230,-9.09,-6.856,12.2
103,2000,141,240,-9.02,-6.836,12.2
103,2000,141,250,-9.13,-7.05,12.2
103,2000,141,300,-9.17,-7.14,12.2
103,2000,141,310,-9.25,-7.21,12.2
103,2000,141,320,-9.38,-7.25,12.2
103,2000,141,330,-9.53,-7.35,12.19
103,2000,141,340,-9.64,-7.46,12.19
103,2000,141,350,-9.78,-7.58,12.19
103,2000,141,400,-6.961,-7.6,12.18
103,2000,141,410,-6.425,-7.57,12.18
103,2000,141,420,-9.76,-7.5,12.18
103,2000,141,430,-9.46,-7.31,12.18
103,2000,141,440,-9.57,-7.32,12.18
103,2000,141,450,-9.72,-7.42,12.18
103,2000,141,500,-9.51,-7.19,12.17
103,2000,141,510,-9.56,-7.21,12.17
103,2000,141,520,-9.55,-7.38,12.17
103,2000,141,530,-9.79,-7.65,12.17
103,2000,141,540,-9.85,-7.64,12.17
103,2000,141,550,-9.72,-7.42,12.17
103,2000,141,600,-9.5,-7.19,12.17
103,2000,141,610,-9.27,-7.02,12.16
103,2000,141,620,-9.28,-7,12.16
103,2000,141,630,-9.47,-7.08,12.16
103,2000,141,640,-9.55,-7.02,12.16
103,2000,141,650,-9.47,-6.809,12.16
103,2000,141,700,-9.63,-7.06,12.15
103,2000,141,710,-9.61,-7.06,12.15
103,2000,141,720,-9.47,-6.771,12.15
103,2000,141,730,-9.42,-6.732,12.15
103,2000,141,740,-9.32,-6.594,12.14
103,2000,141,750,-9.29,-6.427,12.14
103,2000,141,800,-9.27,-6.361,12.14
103,2000,141,810,-9.26,-6.217,12.14
103,2000,141,820,-9.28,-6.43,12.14
103,2000,141,830,-9.04,-6.116,12.14
103,2000,141,840,-9.06,-6.13,12.14
103,2000,141,850,-9.06,-6.092,12.14
103,2000,141,900,-8.88,-5.848,12.13
103,2000,141,910,-8.81,-5.738,12.13
103,2000,141,920,-8.83,-5.806,12.13
103,2000,141,930,-8.73,-5.64,12.13
103,2000,141,940,-8.7,-5.526,12.13
103,2000,141,950,-8.28,-5.046,12.13
103,2000,141,1000,-8.03,-4.887,12.12
103,2000,141,1010,-7.74,-4.643,12.12
103,2000,141,1020,-7.81,-4.59,12.12
103,2000,141,1030,-7.82,-4.412,12.11
103,2000,141,1040,-7.72,-4.178,12.11
103,2000,141,1050,-7.7,-4.038,12.11
103,2000,141,1100,-7.74,-4.186,12.11
103,2000,141,1110,-7.55,-4.241,12.1
103,2000,141,1120,-7.49,-4.051,12.11
103,2000,141,1130,-7.38,-3.934,12.1
103,2000,141,1140,-7.3,-3.922,12.1
103,2000,141,1150,-7.06,-3.808,12.1
103,2000,141,1200,-7.13,-3.858,12.1
103,2000,141,1210,-6.993,-3.98,12.1
103,2000,141,1220,-6.593,-4.223,12.1
103,2000,141,1230,-6.205,-4.366,12.09
103,2000,141,1240,-5.979,-4.331,12.09
103,2000,141,1250,-5.939,-4.173,12.09
103,2000,141,1300,-6.013,-4.035,12.09
103,2000,141,1310,-6.227,-3.9,12.09
103,2000,141,1320,-6.164,-3.632,12.09
