"TOA5","2","CR1000","31415","CR1000.Std.18","CPU:GOES cp1 2010.CR1","57554","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg(1)","sw_ref_Avg","net_rad_Avg","tc_snow_Avg(1)","tc_snow_Avg(2)","tc_snow_Avg(3)","tc_snow_Avg(4)","tc_snow_Avg(5)","tc_snow_Avg(6)","tc_snow_Avg(7)","tc_snow_Avg(8)","tc_snow_Avg(9)","tc_snow_Avg(10)","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","sw_in_Max(1)","sw_in_Std(1)","net_rad_Std","tc_air_Max(1)","tc_air_Max(2)","tc_air_Min(1)","tc_air_Min(2)","U_Max(1)","U_Max(2)","U_Std(1)","U_Std(2)","TRef_Avg","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Max","Max","Min","Min","Max","Max","Std","Std","Avg","Smp"
"2014-05-02 17:00:00",0,2,2014,122,17,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-6.293,-6.173,79.2,79.83,6.044,6.571,294.3,298.8,379.1,2.19,2.29,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",7.317,7.918,1.304,1.41,"NAN",14.37
"2014-05-02 18:00:00",1,2,2014,122,18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-6.382,-6.23,83.3,84,6.939,7.485,299.9,303.9,395,1.245,2.397,4.969,"NAN","NAN",-0.679,9.7,-10.74,-7.832,8.61,9.24,0.673,0.676,"NAN",13.92
"2014-05-02 19:00:00",2,2,2014,122,19,2.52,2.536,1.847,-16.88,4.663,-18.53,18.04,10.51,4.494,-5.446,4.017,-15.64,9.56,-6.307,-6.335,-6.082,-5.946,83.7,84.7,6.846,7.311,295.5,300.7,395.2,1.916,2.385,2.615,0.093,1.001,-6.18,-6.198,-6.455,-6.484,8.63,9.24,0.554,0.581,-3.751,13.65
"2014-05-02 20:00:00",3,2,2014,122,20,2.036,2.206,6.418,"NAN",0.115,-19.49,18.02,"NAN",4.689,-5.53,"NAN",-15.54,10.24,-6.201,-6.208,-6.119,-5.935,86.9,87.9,7.173,7.633,237.6,241.6,395.5,2.18,2.372,2.409,0.225,2.49,-6.087,-6.097,-6.345,-6.33,8.76,9.34,0.595,0.614,-3.583,14.39
"2014-05-02 21:00:00",4,2,2014,122,21,2.002,2.244,7.096,"NAN",-0.619,-19.35,18.35,"NAN","NAN",-6.097,5.06,-15.53,11.67,-6.381,-6.409,-6.404,-6.209,89.1,90,7.951,8.42,211.7,214.1,395.7,2.948,2.454,2.234,0.128,1.203,-6.213,-6.248,-6.478,-6.513,9.45,9.7,0.58,0.587,-3.426,14.47
"2014-05-02 22:00:00",5,2,2014,122,22,1.658,1.942,4.874,"NAN",1.895,-18.62,18.62,11.44,4.59,-6.232,5.383,-15.45,13.26,-6.689,-6.718,-6.749,-6.554,88.8,89.5,8.14,8.62,214.5,217.9,395.8,1.892,2.456,2.042,0.317,1.697,-6.445,-6.471,-7.072,-7.089,9.72,10.11,0.55,0.556,-3.352,14.75
"2014-05-02 23:00:00",6,2,2014,122,23,0.632,0.753,-0.673,-4.581,5.926,-19.32,16.98,10.4,3.1,-7.22,2.939,-17.12,11.13,-7.698,-7.686,-7.991,-7.795,88.7,89.3,8.56,9.07,210.8,213.5,395.8,0.69,2.462,1.136,0.128,0.981,-7.085,-7.096,-8.09,-8.08,10.22,10.67,0.662,0.684,-5.008,13.71
"2014-05-03 00:00:00",7,2,2014,123,0,0.393,0.447,-0.75,-5.898,4.186,-21.06,15.48,8.39,1.272,-9.05,1.258,-18.93,9.78,-8.22,-8.21,-8.58,-8.39,90.1,90.9,8.4,8.92,215.7,217.6,396,1.133,2.462,0.651,0.126,0.324,-7.963,-7.952,-8.45,-8.42,10.58,11.07,0.573,0.578,-6.805,13.46
