  Jul.Day  S1(up) S1(up) S(dw) net_rad lnet lout lin
  158.542   537.8   537.8   467.8    3.4  -66.6 -306.2  239.6
  158.583   608.0   608.0   532.6    9.0  -66.4 -283.5  217.1
  158.625   615.8   615.8   540.8    8.1  -66.9 -283.1  216.2
  158.667   648.8   648.8   567.4   16.0  -65.4 -286.3  220.9
  158.708   649.6   649.6   569.0   15.3  -65.3 -288.1  222.8
  158.750   631.6   631.6   554.8    9.2  -67.6 -289.7  222.1
  158.792   597.2   597.2   527.2    3.0  -67.0 -290.0  223.0
  158.833   549.0   549.0   486.8   -3.4  -65.6 -289.5  223.9
  158.875   489.6   489.6   436.6  -10.9  -63.9 -288.2  224.3
  158.917   426.4   426.4   382.8  -20.1  -63.7 -285.7  222.0
  158.958   359.4   359.4   324.8  -28.2  -62.8 -282.4  219.5
  159.000   296.6   296.6   269.8  -34.2  -61.0 -279.1  218.1
  159.042   110.0   110.0   221.8  -36.1   75.7 -274.5  350.2
  159.083   177.2   177.2   186.4  -52.8  -43.6 -270.6  227.1
  159.125    27.6    27.6   157.2 -170.6  -41.0 -266.7  225.7
  159.167    76.0    76.0   143.6  -47.0   20.6 -264.8  285.5
  159.208   135.4   135.4   143.0  -51.5  -43.9 -262.7  218.7
  159.250   178.6   178.6   156.6  -49.9  -71.9 -261.2  189.3
  159.292   209.6   209.6   183.8  -44.9  -70.7 -262.4  191.7
  159.333   253.6   253.6   223.8  -40.6  -70.4 -262.5  192.1
  159.375   310.0   310.0   278.6  -33.5  -64.9 -261.4  196.6
  159.417   375.2   375.2   341.8  -25.6  -59.0 -263.6  204.7
  159.458   443.2   443.2   395.2  -21.5  -69.5 -268.1  198.7
  159.500   509.4   509.4   449.8  -15.0  -74.6 -272.1  197.5
  159.542   566.8   566.8   499.4   -6.9  -74.3 -276.4  202.1
  159.583   614.4   614.4   542.2   -1.3  -73.5 -274.3  200.8
  159.625   648.8   648.8   574.8    5.4  -68.6 -279.0  210.4
  159.667   666.4   666.4   588.8    9.2  -68.4 -284.1  215.7
  159.708   657.0   657.0   582.0    8.1  -66.9 -287.0  220.1
  159.750   644.0   644.0   572.8    5.2  -66.0 -290.5  224.5
  159.792   519.6   519.6   472.6   12.7  -34.3 -291.2  256.8
  159.833   441.8   441.8   406.2    7.0  -28.6 -288.9  260.3
  159.875   401.0   401.0   370.4   -2.1  -32.7 -286.6  253.9
  159.917   317.4   317.4   294.0   -1.9  -25.3 -283.7  258.4
  159.958   249.2   249.2   232.4    3.1  -13.7 -281.3  267.6
  160.000   181.2   181.2   170.8    4.9   -5.5 -278.5  273.0
  160.042   142.4   142.4   142.8   -2.0   -1.6 -274.5  273.0
  160.083   106.4   106.4   110.8  -17.3  -12.9 -267.9  255.0
  160.125    73.4    73.4    88.0  -36.2  -21.6 -260.6  239.0
  160.167    75.4    75.4    84.8  -18.7   -9.3 -257.9  248.6
  160.208    84.2    84.2    88.6  -20.3  -15.9 -258.8  242.9
  160.250   108.4   108.4   108.6  -28.2  -28.0 -259.7  231.7
  160.292   136.8   136.8   136.8  -41.3  -41.3 -258.8  217.6
  160.333   173.2   173.2   174.0  -64.2  -63.4 -259.1  195.7
  160.375   226.4   226.4   211.2  -77.5  -92.7 -261.1  168.4
  160.417   295.6   295.6   267.8  -98.1 -125.9 -265.6  139.8
  160.458   338.2   338.2   306.2 -100.3 -132.3 -268.6  136.4
  160.500   408.2   408.2   368.6 -112.1 -151.7 -273.1  121.5
  160.542   462.0   462.0   418.4  -73.9 -117.5 -276.7  159.1
  160.583   528.8   528.8   480.8  -49.9  -97.9 -280.8  182.8
  160.625   598.8   598.8   545.8  -18.8  -71.8 -286.0  214.1
  160.667   454.2   454.2   414.6  -10.6  -50.2 -283.9  233.7
  160.708   483.0   483.0   447.8    3.0  -32.2 -284.7  252.6
  160.750   558.2   558.2   516.2   -8.2  -50.2 -284.4  234.3
  160.792   483.2   483.2   452.0   -1.2  -32.4 -285.5  253.1
  160.833   424.6   424.6   400.4     .8  -23.4 -287.2  263.8
  160.875   305.0   305.0   289.2   -4.5  -20.3 -283.7  263.4
  160.917   238.6   238.6   227.2   -5.5  -16.9 -280.9  264.0
  160.958   180.6   180.6   172.0   -3.0  -11.6 -279.0  267.4
  161.000   265.4   265.4   251.8   -1.2  -14.8 -278.1  263.3
  161.042   191.6   191.6   181.2     .2  -10.2 -276.3  266.1
  161.083   118.2   118.2   111.8    1.2   -5.2 -275.1  269.9
  161.125    89.6    89.6    84.8     .9   -3.9 -273.9  270.0
  161.167    82.2    82.2    77.6    1.0   -3.6 -275.8  272.2
  161.208    84.8    84.8    79.6     .5   -4.7 -276.4  271.7
  161.250    88.4    88.4    83.0     .3   -5.1 -276.0  270.9
  161.292   106.8   106.8   100.0   -1.1   -7.9 -276.0  268.1
  161.333   126.8   126.8   119.2   -1.5   -9.1 -275.8  266.7
  161.375   172.4   172.4   162.0   -2.5  -12.9 -271.9  259.0
  161.417   235.4   235.4   221.4    -.1  -14.1 -267.6  253.5
  161.458   305.2   305.2   286.4    1.1  -17.7 -266.9  249.1
  161.500   383.8   383.8   359.8   -1.8  -25.8 -268.4  242.6
  161.542   531.8   531.8   496.0  -16.1  -51.9 -270.3  218.5
  161.583   708.8   708.8   654.0 -106.0 -160.8 -272.1  111.3
  161.625   677.6   677.6   627.0 -209.2 -259.8 -272.7   13.0
  161.667   686.2   686.2   630.2 -260.5 -316.5 -274.3  -42.2
  161.708   658.2   658.2   606.4 -219.9 -271.7 -276.7    5.0
  161.750   554.6   554.6   517.2  -71.4 -108.8 -276.8  168.0
  161.792   513.6   513.6   479.2  -78.0 -112.4 -276.7  164.3
  161.833   460.8   460.8   430.2  -91.9 -122.5 -276.3  153.8
  161.875   374.4   374.4   351.4  -64.5  -87.5 -273.5  186.0
  161.917   403.8   403.8   374.4  -33.4  -62.8 -272.9  210.0
  161.958   356.2   356.2   331.4  -17.0  -41.8 -270.6  228.8
  162.000   300.8   300.8   281.2  -20.2  -39.8 -266.0  226.2
  162.042   111.0   111.0   233.6  -24.3   98.3 -262.1  360.4
  162.083   179.4   179.4   191.8  -35.9  -23.5 -257.9  234.4
  162.125    28.8    28.8   162.4 -157.6  -24.0 -253.8  229.8
  162.167    28.0    28.0   148.2  -22.6   97.6 -249.1  346.8
  162.208   133.0   133.0   147.8  -27.2  -12.4 -245.7  233.2
  162.250   179.8   179.8   161.8  -24.3  -42.3 -244.4  202.1
  162.292   210.0   210.0   189.2  -19.8  -40.6 -243.9  203.3
  162.333   253.4   253.4   229.4  -15.5  -39.5 -244.6  205.1
  162.375   308.6   308.6   284.0   -8.7  -33.3 -246.5  213.2
  162.417   371.4   371.4   345.8   -2.6  -28.2 -249.8  221.6
  162.458   433.2   433.2   393.6   -4.5  -44.1 -253.1  209.1
  162.500   501.8   501.8   454.0  -10.0  -57.8 -257.9  200.1
  162.542   545.6   545.6   497.2  -17.9  -66.3 -265.1  198.7
  162.583   579.2   579.2   532.4  -27.7  -74.5 -268.6  194.1
  162.625   510.2   510.2   476.4    1.4  -32.4 -271.6  239.2
  162.667   526.6   526.6   492.2   -1.9  -36.3 -270.0  233.7
  162.708   524.4   524.4   491.2   -3.0  -36.2 -267.6  231.4
  162.750   518.8   518.8   486.8   -1.9  -33.9 -267.9  234.0
  162.792   478.2   478.2   448.6   -3.4  -33.0 -270.1  237.2
  162.833   446.6   446.6   419.4   -2.6  -29.8 -270.2  240.4
  162.875   342.8   342.8   322.0   -4.6  -25.4 -269.7  244.2
  162.917   286.6   286.6   269.2   -2.1  -19.5 -270.3  250.8
