"TOA5","5","CR1000","31419","CR1000.Std.18","CPU:ARGOS 2014 HUM.CR1","1110","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg(1)","sw_ref_Avg","net_rad_Avg","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)"
"TS","RN","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-05-27 14:00:00",0,5,2016,148,14,2.468,2.281,2.526,-15.82,-15.72,-15.15,-15.11,73.45,76.44,3.729,3.788
"2016-05-27 15:00:00",1,5,2016,148,15,2.789,2.604,0.669,-14.71,-14.59,-14.01,-14.01,71.65,75.01,3.953,3.993
"2016-05-27 16:00:00",2,5,2016,148,16,2.97,2.74,-0.792,-14.37,-14.27,-13.62,-13.64,70.37,73.68,3.842,3.893
"2016-05-27 17:00:00",3,5,2016,148,17,2.967,2.688,-2.813,-14.23,-14.16,-13.54,-13.52,70,72.97,3.635,3.7
"2016-05-27 18:00:00",4,5,2016,148,18,2.888,2.568,-4.265,-14,-13.94,-13.32,-13.24,68.93,71.58,3.205,3.262
"2016-05-27 19:00:00",5,5,2016,148,19,2.749,2.392,-7.362,-13.92,-13.81,-13.33,-12.95,71.52,72.49,2.892,2.971
"2016-05-27 20:00:00",6,5,2016,148,20,2.549,2.177,-10.91,-14.16,-14.09,-13.6,-13.25,73.01,74.12,3.344,3.469
"2016-05-27 21:00:00",7,5,2016,148,21,2.308,1.935,-12.16,-14.56,-14.51,-14.03,-13.83,74.24,76.06,3.959,4.144
"2016-05-27 22:00:00",8,5,2016,148,22,2.034,1.68,-10.61,-15.26,-15.17,-14.68,-14.43,73.71,75.47,3.439,3.659
"2016-05-27 23:00:00",9,5,2016,148,23,1.759,1.434,-11.93,-16.25,-16.13,-15.72,-15.46,73.41,75.45,3.959,4.218
"2016-05-28 00:00:00",10,5,2016,149,0,1.478,1.211,-11.93,-17.13,-16.99,-16.64,-16.4,73.14,75.46,4.384,4.653
"2016-05-28 01:00:00",11,5,2016,149,1,1.269,1.015,-8.33,-18.29,-18.12,-17.82,-17.6,72.78,75.41,4.251,4.528
"2016-05-28 02:00:00",12,5,2016,149,2,0.493,0.865,-11.71,-18.82,-18.64,-18.44,-18.21,72.59,75.42,4.665,4.954
