"TOA5","6","CR1000","23834","CR1000.Std.16","CPU:GOES 09.CR1","36213","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg(1)","sw_ref_Avg","net_rad_Avg","tc_snow_Avg(1)","tc_snow_Avg(2)","tc_snow_Avg(3)","tc_snow_Avg(4)","tc_snow_Avg(5)","tc_snow_Avg(6)","tc_snow_Avg(7)","tc_snow_Avg(8)","tc_snow_Avg(9)","tc_snow_Avg(10)","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","sw_in_Max(1)","sw_in_Std(1)","net_rad_Std","tc_air_Max(1)","tc_air_Max(2)","tc_air_Min(1)","tc_air_Min(2)","U_Max(1)","U_Max(2)","U_Std(1)","U_Std(2)","TRef_Avg","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Max","Max","Min","Min","Max","Max","Std","Std","Avg","Smp"
"2013-05-30 00:00:00",32172,6,2013,150,0,0.796,0.594,-0.413,-34.32,-4.044,-45.03,-3.491,"NAN",-13.89,-47.74,-16.92,-63.56,-6.268,-25.83,-26.05,-26.45,-25.75,77.09,74.83,2.739,2.99,157.7,165.6,167.1,3.082,3.616,0.97,0.09,0.117,-24.82,-25.13,-26.76,-27.03,3.045,3.241,0.13,0.127,-19.34,14.3
"2013-05-30 01:00:00",32173,6,2013,150,1,0.328,0.31,-0.567,-38.17,-8.62,-50.06,-7.586,-51.92,-18.66,-52.79,-21.67,-68.52,-11.06,-28.24,-28.1,-28.7,-27.92,74.72,73.34,2.728,3.038,155.5,163,148,3.097,3.632,0.771,0.196,0.133,-26.76,-26.9,-29.41,-29.12,2.999,3.352,0.111,0.117,-24.14,14.2
"2013-05-30 02:00:00",32174,6,2013,150,2,0.205,0.283,-0.435,-42.16,-11.85,-53.36,-10.27,-54.91,-21.75,-56.09,-24.82,-71.9,-14.23,-29.31,-29.02,-29.67,-29,73.63,73.08,2.684,2.929,154.3,161.8,231.3,3.101,3.637,0.362,0.084,0.304,-28.6,-27.54,-30.09,-29.7,3.319,3.508,0.243,0.278,-27.29,14.19
"2013-05-30 03:00:00",32175,6,2013,150,3,0.174,0.166,0.085,-45.05,-12.2,-53.32,-10.23,-54.53,-21.55,-55.92,-24.61,-71.76,-13.89,-25.32,-24.72,-25.47,-25.1,77.98,78.52,2.287,2.298,177.2,183.6,245.3,3.066,3.598,0.257,0.027,0.034,-23.95,-23.34,-28.54,-27.45,2.894,2.914,0.277,0.27,-27.11,14.13
"2013-05-30 04:00:00",32176,6,2013,150,4,0.181,0.172,0.06,-42.39,-9.58,-50.65,-8.06,-51.87,-18.96,-53.28,-22.13,-69.2,-11.01,-23.21,-23.06,-23.39,-23.2,79.77,79.7,2.272,2.284,200.4,204.5,253.6,3.056,3.587,0.206,0.01,0.016,-22.45,-22.18,-23.93,-23.82,3.286,3.254,0.474,0.425,-24.57,14.11
"2013-05-30 05:00:00",32177,6,2013,150,5,0.249,0.234,0.038,-40.7,-7.853,-48.98,-6.639,-50.15,-17.35,-51.58,-20.56,-67.6,-9,-22.44,-22.51,-22.7,-22.55,80.4,80,2.471,2.404,194.6,200.5,251.3,3.054,3.584,0.318,0.031,0.032,-22.16,-22.2,-22.61,-22.82,3.665,3.561,0.334,0.3,-23,14.14
"2013-05-30 06:00:00",32178,6,2013,150,6,0.404,0.379,-0.019,-39.63,-6.826,-48.07,-6.016,-49.23,-16.48,-50.72,-19.73,-66.78,-7.741,-22.17,-22.54,-22.55,-22.42,80.6,79.81,1.936,1.939,190.4,195,258.6,3.056,3.585,0.551,0.069,0.049,-22.04,-22.16,-22.38,-23.01,2.365,2.417,0.223,0.217,-22.18,14.2
"2013-05-30 07:00:00",32179,6,2013,150,7,0.652,0.608,-0.035,-39.31,-6.433,-47.75,-5.827,-48.89,-16.19,-50.36,-19.48,-66.53,-7.17,-22.22,-22.6,-22.69,-22.54,80.6,79.8,2.154,2.173,187.4,192.8,260.6,3.058,3.587,0.781,0.071,0.051,-20.93,-21.18,-22.64,-23.36,3.443,3.28,0.32,0.319,-21.89,14.32
