"TOA5","22","CR1000","31412","CR1000.Std.18","CPU:ARGOS 2011 GITS.CR1","33414","Table050"
"TIMESTAMP","RECORD","Dir2_Avg","t_air_Avg(1)","t_air_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","Battery"
"TS","RN","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"2011-06-02 00:00:00",0,174,-10.47,-10.28,198.9,0.055,0,14.1
"2011-06-02 01:00:00",1,176,-11.07,-10.88,200,0,0,14.82
"2011-06-02 02:00:00",2,178,-11.48,-11.29,200,0,0,14.75
"2011-06-02 03:00:00",3,180.2,-11.92,-11.68,200,0,0,14.72
"2011-06-02 04:00:00",4,180,-12.1,-11.87,200,0,0,14.72
"2011-06-02 05:00:00",5,181.1,-12.25,-11.98,200,0,0,14.75
"2011-06-02 06:00:00",6,184,-12.03,-11.81,200,0.446,0,14.8
"2011-06-02 07:00:00",7,182.1,-11.81,-11.63,200,0,0,14.82
"2011-06-02 08:00:00",8,177,-11.97,-11.73,200,0,0,14.88
"2011-06-02 09:00:00",9,183.2,-11.59,-11.53,200,0,0,14.94
"2011-06-02 10:00:00",10,189.3,-10.53,-10.44,200,0.154,0,13.87
"2011-06-02 11:00:00",11,187.5,-9.75,-9.64,200,0.17,0,13.8
"2011-06-02 12:00:00",12,194.1,-9.19,-9.1,200,0.237,0,13.68
"2011-06-02 13:00:00",13,198.6,-8.65,-8.57,200,0.395,0,13.61
"2011-06-02 14:00:00",14,196,-7.976,-7.963,200,0.592,0,13.55
"2011-06-02 15:00:00",15,200.3,-7.268,-7.257,200,0.368,0,13.58
"2011-06-02 16:00:00",16,194.7,-6.714,-6.704,200,0.425,0,13.58
"2011-06-02 17:00:00",17,185.8,-6.471,-6.466,200,0.28,0,13.53
"2011-06-02 18:00:00",18,186.1,-6.372,-6.332,200,0.635,0,13.58
"2011-06-02 19:00:00",19,201.5,-5.878,-5.887,200,0,0,13.63
"2011-06-02 20:00:00",20,209.7,-5.916,-5.93,200,0.774,0,13.73
"2011-06-02 21:00:00",21,200.6,-6.237,-6.203,200,0.466,0,13.82
"2011-06-02 22:00:00",22,186.7,-6.832,-6.712,200,0,0,13.85
"2011-06-02 23:00:00",23,184.6,-7.474,-7.333,200,0.21,0,14.78
"2011-06-03 00:00:00",24,174.5,-8.22,-8.04,200,0,0,13.87
"2011-06-03 01:00:00",25,184.4,-8.74,-8.51,200,0,0,14.93
"2011-06-03 02:00:00",26,187.9,-8.51,-8.29,200,0,0,14.07
"2011-06-03 03:00:00",27,183.3,-9.19,-8.92,200,0,0,13.91
"2011-06-03 04:00:00",28,187.5,-9.36,-9.09,200,0.211,0,14.13
"2011-06-03 05:00:00",29,183.7,-9.66,-9.38,200,0.426,0,13.99
"2011-06-03 06:00:00",30,178.9,-9.15,-8.85,200,0,0,14.23
"2011-06-03 07:00:00",31,184,-8.71,-8.49,200,0.168,0,13.95
"2011-06-03 08:00:00",32,183.5,-9.44,-9.07,200,0.368,0,13.94
"2011-06-03 09:00:00",33,185.4,-8.54,-8.38,200,0,0,14.68
"2011-06-03 10:00:00",34,201.2,-7.394,-7.28,200,0.67,0,13.83
"2011-06-03 11:00:00",35,197.5,-6.765,-6.629,200,0.328,0,13.76
"2011-06-03 12:00:00",36,191.5,-6.375,-6.185,200,0.264,0,13.75
"2011-06-03 13:00:00",37,186.6,-6.243,-6.085,200,1.065,0,13.67
"2011-06-03 14:00:00",38,185.3,-6.245,-6.114,200,0.664,0,13.56
"2011-06-03 15:00:00",39,189.4,-5.977,-5.932,200,0.495,0,14.22
"2011-06-03 16:00:00",40,201.9,-6.415,-6.274,200,0.171,0.232,13.72
"2011-06-03 17:00:00",41,208.5,-6.681,-6.478,200,0,0,13.78
"2011-06-03 18:00:00",42,200.4,-6.688,-6.484,200,0.268,0,13.8
"2011-06-03 19:00:00",43,209,-6.746,-6.602,200,0.033,0.177,13.81
"2011-06-03 20:00:00",44,221.8,-6.729,-6.635,200,0.399,0,13.81
"2011-06-03 21:00:00",45,224.1,-6.836,-6.752,200,0,0,13.87
"2011-06-03 22:00:00",46,218.4,-6.996,-6.908,200,0,0,13.84
"2011-06-03 23:00:00",47,214.9,-7.66,-7.518,200,0,0.159,13.85
"2011-06-04 00:00:00",48,213.4,-7.71,-7.622,200,0,0,13.86
"2011-06-04 01:00:00",49,210.1,-8.57,-8.37,200,0,0,13.93
"2011-06-04 02:00:00",50,212.9,-8.84,-8.64,200,0.725,0,13.94
"2011-06-04 03:00:00",51,212.4,-8.92,-8.74,200,0.223,0,15.18
"2011-06-04 04:00:00",52,208.9,-9.36,-9.18,200,0,0,13.95
"2011-06-04 05:00:00",53,210.9,-9.6,-9.43,200,0,0,14.07
"2011-06-04 06:00:00",54,213.8,-9.56,-9.38,200,0.585,0,13.91
