"TOA5","CR1000","CR1000","23832","CR1000.Std.16","CPU:GOES 09.CR1","53420","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_snow_Avg(1)","tc_snow_Avg(2)","tc_snow_Avg(3)","tc_snow_Avg(4)","tc_snow_Avg(5)","tc_snow_Avg(6)","tc_snow_Avg(7)","tc_snow_Avg(8)","tc_snow_Avg(9)","tc_snow_Avg(10)","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","sw_in_Max","sw_in_Std","net_rad_Std","tc_air_Max(1)","tc_air_Max(2)","tc_air_Min(1)","tc_air_Min(2)","U_Max(1)","U_Max(2)","U_Std(1)","U_Std(2)","TRef_Avg","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Max","Max","Min","Min","Max","Max","Std","Std","Avg","Smp"
"2009-05-06 13:00:00",45,1,2009,126,13,2.894,2.623,-0.868,"NAN",-10.8,-10.19,"NAN",-10.28,-7.989,-9.16,"NAN",-10.28,-10.4,-10.77,-10.88,-10.63,-10.8,76.14,75.61,6.977,7.844,101.6,100.6,600,1.263,1.601,3.098,0.153,0.416,-10.23,-10.38,-11.4,-11.47,8.61,9.64,0.653,0.697,-9.79,14.08
"2009-05-06 14:00:00",46,1,2009,126,14,3.053,2.77,-0.96,"NAN",-10.57,-9.49,"NAN",-8.75,-6.677,-7.181,"NAN",-9.17,-7.938,-9.89,-10,-9.65,-9.82,75.63,75.03,5.28,5.976,113.9,116.5,600,1.302,1.599,3.306,0.125,0.312,-9.55,-9.66,-10.3,-10.44,6.867,7.598,0.737,0.802,-8.49,13.72
"2009-05-06 15:00:00",47,1,2009,126,15,3.141,2.855,-1.549,"NAN",-10.31,-8.78,"NAN",-7.351,-5.849,-6.685,"NAN",-8.34,-6.556,-9.23,-9.36,-8.9,-9.13,74.93,74.66,4.597,5.243,120.4,124.1,600,1.3,1.597,3.349,0.098,0.319,-8.9,-9.05,-9.57,-9.69,5.86,6.716,0.476,0.515,-7.319,13.71
"2009-05-06 16:00:00",48,1,2009,126,16,3.245,2.956,-2.348,"NAN",-10.04,-8.24,"NAN",-5.829,-5.362,-7.016,"NAN",-7.753,-5.176,-8.79,-8.91,-8.47,-8.56,73.85,72.8,4.3,4.895,132.8,136.2,600,1.299,1.596,3.449,0.069,0.358,-8.55,-8.67,-8.97,-9.1,5.299,6.076,0.373,0.414,-6.455,13.59
"2009-05-06 17:00:00",49,1,2009,126,17,3.156,2.881,-2.842,"NAN",-9.75,-7.944,"NAN",-6.31,-5.717,-7.134,"NAN",-7.716,-5.206,-8.81,-8.96,-8.49,-8.67,75.51,74.83,4.72,5.372,128.1,131.7,600,1.3,1.596,3.314,0.065,0.233,-8.55,-8.73,-8.93,-9.09,5.73,6.475,0.524,0.563,-6.132,13.65
"2009-05-06 18:00:00",50,1,2009,126,18,2.993,2.72,-3.087,"NAN",-9.54,-7.946,"NAN",-5.627,-5.643,-6.48,"NAN",-7.31,-4.165,-8.53,-8.67,-8.18,-8.39,75.9,75.53,4.214,4.79,125.1,128.1,600,1.299,1.595,3.247,0.124,0.243,-8.37,-8.47,-8.69,-8.89,5.775,6.468,0.684,0.744,-6.216,13.6
"2009-05-06 19:00:00",51,1,2009,126,19,2.66,2.416,-3.304,"NAN",-9.38,-7.985,"NAN",-5.292,-5.857,-5.898,"NAN",-7.076,-3.155,-8.42,-8.5,-7.979,-8.17,76.79,76.49,3.427,3.907,124.3,127.8,600,1.299,1.594,2.872,0.134,0.109,-8.29,-8.38,-8.56,-8.64,4.384,5.037,0.431,0.476,-5.677,13.69
"2009-05-06 20:00:00",52,1,2009,126,20,2.255,2.054,-3.776,"NAN",-9.26,-8.34,"NAN",-5.827,-6.518,-5.886,"NAN",-7.727,-3.968,-8.54,-8.59,-8.15,-8.36,78.32,78.49,3.493,3.995,118.8,121.4,600,1.3,1.595,2.49,0.144,0.233,-8.4,-8.51,-8.74,-8.72,4.645,5.116,0.388,0.406,-5.443,13.83
