"TOA5","CR1000","CR1000","31414","CR1000.Std.18","CPU:GOES 09.CR1","10607","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_snow_Avg(1)","tc_snow_Avg(2)","tc_snow_Avg(3)","tc_snow_Avg(4)","tc_snow_Avg(5)","tc_snow_Avg(6)","tc_snow_Avg(7)","tc_snow_Avg(8)","tc_snow_Avg(9)","tc_snow_Avg(10)","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","sw_in_Max","sw_in_Std","net_rad_Std","tc_air_Max(1)","tc_air_Max(2)","tc_air_Min(1)","tc_air_Min(2)","U_Max(1)","U_Max(2)","U_Std(1)","U_Std(2)","TRef_Avg","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Max","Max","Min","Min","Max","Max","Std","Std","Avg","Smp"
"2016-06-29 12:00:00",44487,12,2016,181,12,9.04,7.473,-1.487,-28.88,-28.84,-28.82,-28.8,-28.83,-28.9,-28.91,-29,"NAN","NAN",-9.61,-9.72,-8.92,-9.04,77.15,75.8,0,4.12,11.63,355.1,331.7,3.849,2.057,9.38,0.236,0.324,-9.03,-9.13,-10.19,-10.33,0,4.73,0,0.27,-1.989,13.84
"2016-06-29 13:00:00",44488,12,2016,181,13,9.73,7.958,-2.625,-28.9,-28.85,-28.84,-28.81,-28.84,-28.91,-28.92,-29.01,"NAN",-4.19,-8.43,-8.55,-7.723,-7.785,78.5,76.84,0,3.896,11.62,355,331.7,3.841,2.052,9.99,0.175,0.346,-7.856,-7.997,-9.05,-9.15,0,4.606,0,0.242,-0.937,13.8
"2016-06-29 14:00:00",44489,12,2016,181,14,10.16,8.26,-3.892,-28.89,-28.85,-28.83,-28.8,-28.83,-28.9,-28.91,-29,"NAN",-2.857,-7.499,-7.61,-6.749,-6.773,77.42,75.64,0,3.681,11.62,355,331.8,3.834,2.048,10.27,0.078,0.353,-7.06,-7.201,-7.935,-8.05,0,4.136,0,0.234,0.197,13.76
"2016-06-29 15:00:00",44490,12,2016,181,15,10.25,8.34,-4.828,-28.85,-28.8,-28.78,-28.75,-28.77,-28.84,-28.85,-28.93,"NAN",-2.599,-6.917,-7.047,-6.227,-6.308,77.29,75.66,0,4.324,11.61,355,331.7,3.83,2.046,10.28,0.027,0.186,-6.619,-6.774,-7.181,-7.304,0,4.978,0,0.274,0.507,13.72
"2016-06-29 16:00:00",44491,12,2016,181,16,10,8.16,-5.216,-28.83,-28.79,-28.76,-28.73,-28.75,-28.83,-28.83,-28.91,"NAN",-3.25,-6.474,-6.635,-5.741,-5.885,74.92,73.58,0,4.362,11.61,355,331.7,3.828,2.045,10.18,0.122,0.056,-6.25,-6.406,-6.759,-6.877,0,5.096,0,0.297,-0.317,13.68
"2016-06-29 17:00:00",44492,12,2016,181,17,9.43,7.721,-4.813,-28.83,-28.79,-28.77,-28.74,-28.76,-28.83,-28.84,-28.93,"NAN",-4.236,-6.087,-6.271,-5.183,-5.324,74.02,73,0,3.776,11.61,355,331.5,3.825,2.044,9.75,0.209,0.294,-5.966,-6.154,-6.277,-6.435,0,4.247,0,0.261,-1.026,13.65
"2016-06-29 18:00:00",44493,12,2016,181,18,8.57,7.101,-3.393,-28.82,-28.78,-28.76,-28.73,-28.76,-28.83,-28.84,-28.93,"NAN",-5.298,-6.282,-6.429,-5.254,-5.456,72.2,71.42,0,3.941,11.62,355,331.3,3.827,2.045,9.05,0.272,0.476,-6.092,-6.267,-6.436,-6.529,0,4.652,0,0.442,-1.936,13.61
"2016-06-29 19:00:00",44494,12,2016,181,19,7.53,6.36,-1.607,-28.83,-28.79,-28.77,-28.74,-28.77,-28.84,-28.85,-28.94,"NAN",-5.951,-6.441,-6.522,-5.276,-5.54,75.18,74.5,0,3.807,11.62,355,331.2,3.828,2.046,8.09,0.331,0.55,-6.269,-6.41,-6.603,-6.587,0,4.802,0,0.399,-2.466,13.62
