"Station" "year" "jd.hour" "tair1" "tair2" "hum1" "hum2" "wind1" "wind2" "wdir1" "wdir2" "press" "snowh1" "snowh2" "battery" "t1max" "t2max" "t1min" "t2min" "w1max" "w2max"
24 2014 137.833 -22.44 -21.89 82.93 77.19 4.44 5.2 297.3 75.5 713.1 999 999 12.71 -19.47 -19.5 -22.75 -22.31 5.54 6.16
24 2014 137.875 -23.33 -23 83.9 79.99 4.23 4.71 279 248.4 715.9 999 999 12.89 -22.86 -22.58 -23.59 -23.3 6.85 6.36
24 2014 137.917 -23.96 -23.66 89.23 85.95 4.19 4.69 270.2 255.3 718.6 -0.0117 0.0012 12.96 -23.59 -23.29 -24.21 -23.94 4.91 5.27
24 2014 137.958 -24.64 -24.29 89.05 85.8 4.31 4.84 265.3 249.7 718.8 -0.0131 0.0009 12.98 -23.98 -23.65 -25.26 -24.92 4.85 5.39
24 2014 138 -25.72 -25.46 89.8 87.14 4.82 5.34 263.7 248 719 -0.0126 0.001 12.98 -25.25 -24.92 -26.33 -26.06 5.46 6.04
24 2014 138.042 -27.06 -26.78 90.29 87.86 5.22 5.8 267.8 251.6 719 -0.0145 0.0016 12.93 -25.57 -25.29 -28.54 -28.24 6.63 7.04
24 2014 138.083 -29.36 -29.07 92.5 90.26 4.78 5.37 259 242.4 719.1 -0.0218 0.0019 12.89 -28.44 -28.13 -30.35 -30.06 5.51 6.23
24 2014 138.125 -30.62 -30.33 93.1 90.92 5.32 5.92 265.8 249.9 719.2 -0.0181 0.0015 12.92 -30.13 -29.83 -31.22 -30.89 6.06 6.71
24 2014 138.167 -31.7 -31.33 92.74 89.04 5.45 6.08 266 250.4 719.4 -0.0064 0.008 12.93 -30.79 -30.38 -32.48 -32.15 6.46 7.18
24 2014 138.208 -32.69 -32.39 90.71 87.66 5.35 5.95 264.6 248.6 719.5 -0.0051 0.0107 12.98 -31.74 -31.44 -33.1 -32.82 6.24 6.83
24 2014 138.25 -32.88 -32.6 90.2 87.33 5.18 5.77 264.1 248.3 719.7 -0.0056 0.0093 13.04 -32.12 -31.84 -33.24 -33.03 6.12 6.47
24 2014 138.292 -32.97 -32.73 89.28 86.01 4.95 5.49 261.7 246.6 719.9 -0.0053 0.0096 13.34 -32.5 -32.22 -33.43 -33.22 5.85 6.34
24 2014 138.333 -32.39 -32.2 88.83 85.35 4.78 5.27 266.3 250.4 720.1 -0.0056 0.01 14.58 -32.04 -31.78 -32.88 -32.68 5.45 5.9
24 2014 138.375 -31.45 -31.29 88.62 85.27 5.21 5.7 269.1 253.5 720.1 -0.0058 0.0104 14.03 -30.71 -30.56 -32.23 -32.06 6.38 6.85
24 2014 138.417 -30.12 -30 88.25 85.24 5.32 5.81 274.3 258.1 720.2 -0.0058 0.0107 13.95 -29.34 -29.21 -30.72 -30.58 5.99 6.61
24 2014 138.458 -28.81 -28.71 87.7 85.17 5.64 6.14 278.6 263.2 720.4 -0.0058 0.013 13.8 -28.01 -27.88 -29.56 -29.48 6.4 6.93
