"TIMESTAMP" "RECORD" "LoggerID" "jd.time" "Year" "Day_of_Year" "Hour" "tc_air_Avg(2)" "t_air_Avg(1)" "t_air_Avg(2)" "rh_Avg(1)" "rh_Avg(2)" "U_Avg(1)" "U_Avg(2)" "Dir_(1)" "Dir_Avg(2)" "pressure_Avg" "SD_1_Avg" "SD_2_Avg" "tc_air_Max(1)" "tc_air_Max(2)" "tc_air_Min(1)" "tc_air_Min(2)" "U_Max(1)" "U_Max(2)" "U_Std(1)" "U_Std(2)" "TRef_Avg" "Battery"
"2014-05-17 21:00:00" 1 24 2014.377739726 2014 137 21 -23 -22.37 -21.97 66.26 63.46 4.229 4.713 279 248.4 404 1.07 1.29 -22.86 -22.58 -23.59 -23.3 6.853 6.357 0.643 0.619 -20.57 12.89
"2014-05-17 22:00:00" 2 24 2014.3778538813 2014 137 22 -23.66 -23.84 -23.47 69.28 67.02 4.19 4.689 270.2 255.3 418.6 1.114 1.343 -23.59 -23.29 -24.21 -23.94 4.907 5.272 0.241 0.238 -20.96 12.96
"2014-05-17 23:00:00" 3 24 2014.3779680365 2014 137 23 -24.29 -24.49 -24.06 68.62 66.45 4.313 4.837 265.3 249.7 418.8 1.117 1.345 -23.98 -23.65 -25.26 -24.92 4.848 5.39 0.213 0.221 -21.83 12.98
"2014-05-18 00:00:00" 4 24 2014.3780821918 2014 138 0 -25.46 -25.7 -25.37 68.22 66.46 4.819 5.344 263.7 248 419 1.119 1.348 -25.25 -24.92 -26.33 -26.06 5.462 6.037 0.242 0.246 -23.21 12.98
"2014-05-18 01:00:00" 5 24 2014.378196347 2014 138 1 -26.78 -27.05 -26.7 67.5 65.96 5.218 5.805 267.8 251.6 419 1.124 1.351 -25.57 -25.29 -28.54 -28.24 6.631 7.043 0.338 0.332 -24.93 12.93
"2014-05-18 02:00:00" 6 24 2014.3783105023 2014 138 2 -29.07 -29.43 -29.03 67.2 65.89 4.783 5.37 259 242.4 419.1 1.137 1.357 -28.44 -28.13 -30.35 -30.06 5.508 6.233 0.291 0.316 -27.33 12.89
"2014-05-18 03:00:00" 7 24 2014.3784246575 2014 138 3 -30.33 -30.76 -30.38 66.54 65.29 5.321 5.916 265.8 249.9 419.2 1.136 1.361 -30.13 -29.83 -31.22 -30.89 6.063 6.71 0.229 0.239 -29.22 12.92
"2014-05-18 04:00:00" 8 24 2014.3785388128 2014 138 4 -31.33 -31.85 -31.25 65.4 63.26 5.453 6.082 266 250.4 419.4 1.126 1.357 -30.79 -30.38 -32.48 -32.15 6.455 7.18 0.275 0.279 -29.89 12.93
"2014-05-18 05:00:00" 9 24 2014.378652968 2014 138 5 -32.39 -32.64 -32.16 63.34 61.58 5.351 5.947 264.6 248.6 419.5 1.127 1.357 -31.74 -31.44 -33.1 -32.82 6.239 6.834 0.217 0.204 -30.45 12.98
"2014-05-18 06:00:00" 10 24 2014.3787671233 2014 138 6 -32.6 -32.82 -32.3 62.84 61.24 5.179 5.772 264.1 248.3 419.7 1.128 1.359 -32.12 -31.84 -33.24 -33.03 6.115 6.468 0.241 0.247 -30.26 13.04
