t0,t1,variable,adjust_function,adjust_value,comment
19960507T00:00:00+00:00,,HS1,add,0.8,Not reported. Manual shift suggested by bav.
19970501T11:00:00+00:00,,HS1,add,1,Not reported. Manual shift suggested by bav.
19990501T00:00:00+00:00,,HS1,add,3.5,Not reported. Manual shift suggested by bav.
20100503T00:00:00+00:00,,HS1,add,9,Not reported. Manual shift suggested by bav.
20140515T00:00:00+00:00,,HS1,add,1.25,Not reported. Manual shift suggested by bav.
20160515T00:00:00+00:00,,HS1,add,3,Not reported. Manual shift suggested by bav.


19970501T00:00:00+00:00,,HS2,add,1,Not reported. Manual shift suggested by bav.
19990501T00:00:00+00:00,,HS2,add,3.5,Not reported. Manual shift suggested by bav.
20100503T00:00:00+00:00,,HS2,add,12.25,Not reported. Manual shift suggested by bav.
20100503T00:00:00+00:00,20100510T00:00:00+00:00,HS2,add,-2.5,Not reported. Manual shift suggested by bav.
20140515T00:00:00+00:00,,HS2,add,2.25,Not reported. Manual shift suggested by bav.
20160523T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.

20050101T00:00:00+00:00,20080101T00:00:00+00:00,TA3,add,-2.8, Manual adj suggested by bav.
20010101T00:00:00+00:00,20080101T00:00:00+00:00,TA4,add,-2.8, Manual adj suggested by bav.

19900101T00:00:00+00:00,,TA3,min_filter,-39.4,
19900101T00:00:00+00:00,,TA4,min_filter,-39.4,

# air temp correction on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,air_temp_sonic_correction,0,

# filters on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,swap_with_HW2,0.5,Manually filtered by bav

2009-05-15T00:00:00+00:00,,HW1,biweekly_upper_range_filter,0.5,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,biweekly_upper_range_filter,0.5,Manually filtered by bav

2019-01-01T00:00:00+00:00, ,HW1,max_filter,2.6,Manually flagged by bav
2019-01-01T00:00:00+00:00, ,HW2,max_filter,2.6,Manually flagged by bav

2009-05-15T00:00:00+00:00,,HW1,hampel_filter,2,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,hampel_filter,2,Manually filtered by bav

1995-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,RH1,ice_to_water,0, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/43
1995-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,RH2,ice_to_water,0, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/43

# calibration of OSWR with LiCor offset
2012-01-01T00:00:00+00:00,,OSWR,multiply,0.934, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/89

# time shift
2019-03-14T00, 2019-04-29T01', *, time_shift, 520, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/63
