t0,t1,variable,adjust_function,adjust_value,comment
20030522T00:00:00+00:00,,HS1,add,2,Not reported. Manual shift suggested by bav.
20100301T00:00:00+00:00,,HS1,add,2,Not reported. Manual shift suggested by bav.
20150326T00:00:00+00:00,,HS1,add,2,Not reported. Manual shift suggested by bav.
20030522T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.
20100301T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.
20150326T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.

# air temp correction on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,air_temp_sonic_correction,0,
2009-05-15T00:00:00+00:00,,HW2,air_temp_sonic_correction,0,

# filters on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,biweekly_upper_range_filter,0.3,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,biweekly_upper_range_filter,0.3,Manually filtered by bav

2009-05-15T00:00:00+00:00,,HW1,hampel_filter,2,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,hampel_filter,2,Manually filtered by bav
