t0,t1,variable,adjust_function,adjust_value,comment
# calibration of OSWR with LiCor offset
2009-05-06T00:00:00+00:00,,OSWR,multiply,0.934, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/89

2018-02-01T00:00:00+00:00,2019-12-20T00:00:00+00:00,TA3,max_filter,9,Manually flagged by bav
2013-02-01T00:00:00+00:00,2015-12-20T00:00:00+00:00,TA4,max_filter,9,Manually flagged by bav
2005-01-01T00:00:00+00:00,2013-01-01T00:00:00+00:00,TA3,swap_with_TA4,0,Manually flagged by bav

# air temp correction on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,air_temp_sonic_correction,0,
2009-05-15T00:00:00+00:00,,HW2,air_temp_sonic_correction,0,

# filters on HW1 and HW2
2009-08-14T00:00:00+00:00,2010-05-01T00:00:00+00:00,HW1,biweekly_upper_range_filter,0.3,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,biweekly_upper_range_filter,0.5,Manually filtered by bav
2010-06-11T00:00:00+00:00,2010-06-21T00:00:00+00:00,HW1,min_filter,2.21,Manually filtered by bav
2010-07-08T00:00:00+00:00,2010-07-19T00:00:00+00:00,HW1,min_filter,3.35,Manually filtered by bav
2018-10-01T00:00:00+00:00,2018-10-10T00:00:00+00:00,HW1,min_filter,2.17,Manually filtered by bav

2009-05-15T00:00:00+00:00,,HW1,hampel_filter,2,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,hampel_filter,2,Manually filtered by bav

2012-05-15T00:00:00+00:00, ,RH2,swap_with_RH1,0, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/111

# time adjustments
2003-04-24, 2005-05-07, *, time_shift,  24, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/60
2011-06-01T00:00:00+00:00, 2012-05-09T00:00:00+00:00, *, time_shift,  -745, 
