t0,t1,variable,adjust_function,adjust_value,comment
19960529T00:00:00+00:00,,HS1,add,1.25,Not reported. Manual shift suggested by bav.
20030603T16:00:00+00:00,,HS1,add,8.0,Not reported. Manual shift suggested by bav.
20050525T00:00:00+00:00,,HS1,add,2.5,Not reported. Manual shift suggested by bav.
20090420T16:00:00+00:00,,HS1,add,1.0,Not reported. Manual shift suggested by bav.
20110601T22:00:00+00:00,,HS1,add,1.7,Not reported. Manual shift suggested by bav.
20140531T00:00:00+00:00,,HS1,add,3.0,Not reported. Manual shift suggested by bav.
19960529T00:00:00+00:00,,HS2,add,1.25,Not reported. Manual shift suggested by bav.
19970522T00:00:00+00:00,,HS2,add,1.25,Not reported. Manual shift suggested by bav.
20030603T16:00:00+00:00,,HS2,add,4.0,Not reported. Manual shift suggested by bav.
20050525T00:00:00+00:00,,HS2,add,2,Not reported. Manual shift suggested by bav.
20090420T16:00:00+00:00,,HS2,add,4.7,Not reported. Manual shift suggested by bav.
20110601T22:00:00+00:00,,HS2,add,1.58,Not reported. Manual shift suggested by bav.
20150115T00:00:00+00:00,,HS2,add,3.5,Not reported. Manual shift suggested by bav.
