t0,t1,variable,flag,comment,URL_graphic
2011-05-25T00:00:00+00:00,2012-11-01T00:00:00+00:00,P,CHECKME,Manually flagged by bav,

2004-11-16T00:00:00+00:00,2005-05-04T00:00:00+00:00,RH1,CHECKME,Manually flagged by bav,
2004-11-16T00:00:00+00:00,2005-05-04T00:00:00+00:00,RH2,CHECKME,Manually flagged by bav,
2005-01-01T00:00:00+00:00,2007-05-10T00:00:00+00:00,TA1,CHECKME,Manually flagged by bav,
2017-03-10T00:00:00+00:00,2017-05-22T00:00:00+00:00,TA3,CHECKME,Manually flagged by bav,

2017-07-26T00:00:00+00:00,2020-01-01T00:00:00+00:00,HW2,CHECKME,Manually flagged by bav,

2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS10,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS2,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS3,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS4,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS5,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS6,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS7,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS8,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS9,CHECKME,Manually flagged by bav,
2000-08-01T00:00:00+00:00,2000-08-10T00:00:00+00:00,TS10,CHECKME,Manually flagged by bav,

2002-10-15T00:00:00+00:00,2002-11-05T00:00:00+00:00,TS4,CHECKME,Manually flagged by bav,
2003-10-05T00:00:00+00:00,2003-11-30T00:00:00+00:00,TS4,CHECKME,Manually flagged by bav,
2001-09-10T00:00:00+00:00,2001-12-01T00:00:00+00:00,TS8,CHECKME,Manually flagged by bav,
2002-02-01T00:00:00+00:00,2002-07-20T00:00:00+00:00,TS8,CHECKME,Manually flagged by bav,
2000-10-20T00:00:00+00:00,2000-11-10T00:00:00+00:00,TS8,CHECKME,Manually flagged by bav,
2002-10-15T00:00:00+00:00,2002-11-05T00:00:00+00:00,TS8,CHECKME,Manually flagged by bav,
2003-10-05T00:00:00+00:00,2004-06-30T00:00:00+00:00,TS8,CHECKME,Manually flagged by bav,

1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS1,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS2,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS3,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS4,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS5,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS6,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS7,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS8,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS9,CHECKME,Manually flagged by bav,
1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00,TS10,CHECKME,Manually flagged by bav,
2000-10-26T04:00:00+00:00,2000-11-08T00:00:00+00:00,TS3,CHECKME,Manually flagged by bav,
2001-09-05T06:00:00+00:00,2002-08-14T00:00:00+00:00,TS3,CHECKME,Manually flagged by bav,
2003-10-14T08:00:00+00:00,2004-04-21T00:00:00+00:00,TS3,CHECKME,Manually flagged by bav,
2000-07-29T18:00:00+00:00,2000-08-10T00:00:00+00:00,TS1,CHECKME,Manually flagged by bav,
2003-09-30T17:00:00+00:00,2003-12-13T00:00:00+00:00,TS7,CHECKME,Manually flagged by bav,

2008-06-01T00:00:00+00:00,,TS1,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS2,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS3,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS4,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS5,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS6,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS7,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS8,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS9,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,,TS10,CHECKME,Manually flagged by bav,
