t0,t1,variable,flag,comment,URL_graphic

2011-01-01T00:00:00+00:00, ,VW1, NAN, Manually flagged by bav,
2011-01-01T00:00:00+00:00, ,DW1, NAN, Manually flagged by bav,
2012-07-15T00:00:00+00:00, 2012-07-17T00:00:00+00:00,HW2, NAN, Manually flagged by bav,
2012-08-16T00:00:00+00:00, ,HW2, NAN, Manually flagged by bav,

2004-05-01T00:00:00+00:00,2004-05-27T11:00:00+00:00 ,HW1, NAN, Manually flagged by bav,
2004-05-01T00:00:00+00:00,2004-05-27T11:00:00+00:00 ,HW2, NAN, Manually flagged by bav,

2007-01-01T00:00:00+00:00, ,^TS[^_]+$, NAN, Manually flagged by bav,
