t0,t1,variable,flag,comment,URL_graphic
2012-01-08T00:00:00+00:00,2021-06-01T00:00:00+00:00,TA1,CHECKME,https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/23,
2012-01-08T00:00:00+00:00,2021-06-01T00:00:00+00:00,TA2,CHECKME,https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/23,

2018-02-15T00:00:00+00:00,2018-05-31T00:00:00+00:00,TA3, NAN, buried?

2009-01-01T00:00:00+00:00,2011-05-19T00:00:00+00:00,HW1,CHECKME,removed by bav
2015-07-01T00:00:00+00:00,2016-05-19T00:00:00+00:00,HW1,CHECKME,removed by bav
2011-01-01T00:00:00+00:00,2011-05-26T00:00:00+00:00,HW2,CHECKME,removed by bav
2016-01-15T00:00:00+00:00,2016-05-19T00:00:00+00:00,HW2,CHECKME,removed by bav
2017-08-18T00:00:00+00:00,2018-05-26T00:00:00+00:00,HW2,CHECKME,removed by bav

2010-06-01T00:00:00+00:00,,TS1,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS2,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS3,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS4,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS5,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS6,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS7,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS8,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS9,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,,TS10,CHECKME,Manually flagged by bav,
