site, variable, min, max
*, TA1, -80, 20
*, TA2, -80, 20
*, TA3, -39.5, 20
*, TA4, -39.5, 20
*, TA5, -80, 20
*, VW1, 0, 30
*, VW2, 0, 30
*, HW1, -2, 7
*, HW2, -2, 15
*, RH1, 20, 130
*, RH2, 20, 130
*, ISWR, 0, 950
*, OSWR, 0, 950
*, P, 610, 1000
*, NR, -250, 250
NASA-U, HW2, 0.01, 6
DYE2, P, 720, 1000
DYE2, HS1, -1, 1000
DYE2, HS2, -1, 1000
Crawford Point 1, P, 740, 820
Petermann ELA,P, 850, 960
NASA-SE, P, 680, 790
NASA-E, P, 650, 760
South Dome, P, 640, 760
E-GRIP, P, 675, 750
E-GRIP, TA1, -80, 10
E-GRIP, TA2, -80, 10
E-GRIP, TA3, -80, 10
E-GRIP, TA4, -80, 10
Humboldt, P, 734, 820
JAR1, P, 840, 950
DYE2, P, 710, 820
Tunu-N, P, 710, 820
GITS, P, 710, 840
GITS, RH1, 40, 110
GITS, RH2, 40, 110
Saddle, P, 680, 780
Swiss Camp, P, 810, 920
Swiss Camp 10m, P, 810, 920
NEEM, RH1, 40, 115
NEEM, RH2, 40, 115
Summit, P, 620, 1000
Summit, TA1, -80, 15
Summit, TA2, -80, 15
