,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m),Unnamed: 24,Unnamed: 25
0,1998-04-24 19:59,,,,,,,,,,,,,,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,,
1,1999-04-21 01:00,y,,,,,160.0,160.0,310.0,310.0,165.0,165.0,314.0,314.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,
2,2001-06-06 16:00,y,,,,,130.0,130.0,250.0,250.0,128.0,128.0,249.0,249.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,,
3,2002-05-18 12:00,y,,,,,273.0,273.0,,,270.0,270.0,,,,,,,,,,,,,,
4,2003-05-10 00:00,y,,,,,10.0,10.0,125.0,125.0,0.0,0.0,125.0,125.0,,,,,,,,,,,,
5,2004-06-11 13:00,y,,,,,175.0,422.0,295.0,542.0,178.0,425.0,298.0,545.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,
6,2005-05-27 14:00,,,,,,,,,,,,,,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,,
7,2007-07-05 19:00,,,,,,,,,,,,,,,,,,,,,,,,,
8,2007-07-07 12:00,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,
9,2009-01-01 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010-04-30 23:00,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011-05-29,N. Bayou,,262.0,,373.0,,,,,,312.0,,423.0,,,,,,,,,,,,
12,2014-05-25 19:59,,,,,,,,,,,,,,,,,,,,,,,,,
13,2016-05-22 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
14,2017-05-06 00:00,"by A. Heilig. station frosted in. SR reported, other heights deducted by bav",0.63,,1.71,,20.63,,160.63,,,,,,,,,,,,,,,,,
15,2018-05-25,by D. Houtz,,,,,,,,,,,,,,,,,,,,,,,,
16,2018-05-18,by D. Houtz,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-06-19,"by J. Box, decommissioned",,,,,,,,,,,,,,,,,,,,,,,,
