,Date (dd-mm-yyyy HH:MM),reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m),Unnamed: 24,Unnamed: 25
0,5/13/95 16:00,,,,,,,,,,,,,,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1,,
1,5/13/97 16:00,,,,,,,,,,,,,,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1,,
2,5/13/99 16:00,y,,,,,25.0,290.0,168.0,433.0,50.0,315.0,180.0,445.0,,,,,,,,,,,,
3,1/6/2003,y,,,,,,263.0,118.0,438.0,,263.0,122.0,438.0,,,,,,,,,,,,
4,6/3/03 16:00,,0.0,-800.0,0.0,-800.0,,,,,,,,,,,,,,,,,,,,
5,5/25/05 0:30,y,,,,,47.0,227.0,127.0,307.0,,,,,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,,
6,4/26/06 0:30,,0.0,627.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
7,4/20/09 16:00,,0.0,-1100.0,0.0,-470.0,,,,,,,,,,,,,,,,,,,,
8,6/1/11 22:00,,0.0,-170.0,0.0,-158.0,,,,,,,,,,,,,,,,,,,,
9,5/31/14 0:00,,0.0,-500.0,,,,,,,,,,,,,,,,,,,,,,
10,1/15/15 0:00,,,,0.0,-350.0,,,,,,,,,,,,,,,,,,,,
