stid,variable_pattern,lo,hi,month
NEEM,P,663.46,767.10,
NEEM,VW1,-11.92,22.61,
NEEM,VW2,-11.70,25.52,
NEEM,RH1,37.57,108.00,
NEEM,RH2,34.95,107.70,
NEEM,TA1,-65.09,-8.92,1.00
NEEM,TA1,-65.69,-8.55,2.00
NEEM,TA1,-66.31,-6.42,3.00
NEEM,TA1,-59.65,0.05,4.00
NEEM,TA1,-47.64,3.45,5.00
NEEM,TA1,-33.55,7.00,6.00
NEEM,TA1,-29.60,9.19,7.00
NEEM,TA1,-38.34,8.44,8.00
NEEM,TA1,-50.44,1.08,9.00
NEEM,TA1,-58.87,-2.91,10.00
NEEM,TA1,-62.28,-2.38,11.00
NEEM,TA1,-64.51,-5.39,12.00
NEEM,TA2,-65.29,-8.07,1.00
NEEM,TA2,-65.69,-8.28,2.00
NEEM,TA2,-66.35,-6.23,3.00
NEEM,TA2,-59.69,-0.04,4.00
NEEM,TA2,-47.11,3.62,5.00
NEEM,TA2,-33.75,6.73,6.00
NEEM,TA2,-29.43,9.30,7.00
NEEM,TA2,-37.82,8.27,8.00
NEEM,TA2,-49.85,6.18,9.00
NEEM,TA2,-58.49,-2.81,10.00
NEEM,TA2,-62.14,-2.55,11.00
NEEM,TA2,-64.25,-5.58,12.00
NEEM,TA3,-48.47,-8.63,1.00
NEEM,TA3,-48.46,-6.71,2.00
NEEM,TA3,-48.45,-5.52,3.00
NEEM,TA3,-48.43,-0.01,4.00
NEEM,TA3,-47.16,3.81,5.00
NEEM,TA3,-33.27,6.87,6.00
NEEM,TA3,-28.99,9.36,7.00
NEEM,TA3,-38.52,8.66,8.00
NEEM,TA3,-47.89,0.81,9.00
NEEM,TA3,-48.41,-2.92,10.00
NEEM,TA3,-48.45,-2.00,11.00
NEEM,TA3,-48.45,-4.17,12.00
NEEM,TA4,-48.43,-6.10,1.00
NEEM,TA4,-48.43,-6.61,2.00
NEEM,TA4,-48.47,-5.31,3.00
NEEM,TA4,-48.40,-0.50,4.00
NEEM,TA4,-46.82,4.20,5.00
NEEM,TA4,-33.97,6.99,6.00
NEEM,TA4,-30.28,9.53,7.00
NEEM,TA4,-38.08,8.59,8.00
NEEM,TA4,-47.97,7.08,9.00
NEEM,TA4,-48.42,-2.76,10.00
NEEM,TA4,-48.45,-1.96,11.00
NEEM,TA4,-48.44,-4.22,12.00
