stid,variable_pattern,lo,hi,month
Swiss Camp 10m,P,835.70,911.00,
Swiss Camp 10m,VW1,-11.55,29.98,
Swiss Camp 10m,VW2,-11.51,32.35,
Swiss Camp 10m,RH1,43.97,118.30,
Swiss Camp 10m,RH2,40.70,115.00,
Swiss Camp 10m,TA1,-48.34,6.27,1.00
Swiss Camp 10m,TA1,-52.07,6.64,2.00
Swiss Camp 10m,TA1,-51.30,6.22,3.00
Swiss Camp 10m,TA1,-43.75,9.36,4.00
Swiss Camp 10m,TA1,-40.91,12.44,5.00
Swiss Camp 10m,TA1,-22.60,13.30,6.00
Swiss Camp 10m,TA1,-18.51,13.34,7.00
Swiss Camp 10m,TA1,-22.25,13.04,8.00
Swiss Camp 10m,TA1,-30.65,12.27,9.00
Swiss Camp 10m,TA1,-37.87,10.20,10.00
Swiss Camp 10m,TA1,-44.64,9.73,11.00
Swiss Camp 10m,TA1,-47.75,6.07,12.00
Swiss Camp 10m,TA2,-46.84,5.33,1.00
Swiss Camp 10m,TA2,-50.29,3.58,2.00
Swiss Camp 10m,TA2,-47.71,6.07,3.00
Swiss Camp 10m,TA2,-42.25,11.22,4.00
Swiss Camp 10m,TA2,-38.45,11.06,5.00
Swiss Camp 10m,TA2,-19.84,12.71,6.00
Swiss Camp 10m,TA2,-16.85,13.13,7.00
Swiss Camp 10m,TA2,-20.79,12.38,8.00
Swiss Camp 10m,TA2,-29.65,10.98,9.00
Swiss Camp 10m,TA2,-37.80,8.28,10.00
Swiss Camp 10m,TA2,-46.01,7.74,11.00
Swiss Camp 10m,TA2,-48.02,4.26,12.00
Swiss Camp 10m,TA3,-46.90,3.04,1.00
Swiss Camp 10m,TA3,-48.13,3.32,2.00
Swiss Camp 10m,TA3,-47.75,3.52,3.00
Swiss Camp 10m,TA3,-40.49,10.32,4.00
Swiss Camp 10m,TA3,-35.55,11.33,5.00
Swiss Camp 10m,TA3,-18.66,13.26,6.00
Swiss Camp 10m,TA3,-17.59,13.49,7.00
Swiss Camp 10m,TA3,-20.38,12.31,8.00
Swiss Camp 10m,TA3,-29.95,10.65,9.00
Swiss Camp 10m,TA3,-38.68,8.25,10.00
Swiss Camp 10m,TA3,-40.69,7.93,11.00
Swiss Camp 10m,TA3,-46.77,4.15,12.00
Swiss Camp 10m,TA4,,,1.00
Swiss Camp 10m,TA4,,,2.00
Swiss Camp 10m,TA4,,,3.00
Swiss Camp 10m,TA4,,,4.00
Swiss Camp 10m,TA4,,,5.00
Swiss Camp 10m,TA4,,,6.00
Swiss Camp 10m,TA4,,,7.00
Swiss Camp 10m,TA4,,,8.00
Swiss Camp 10m,TA4,,,9.00
Swiss Camp 10m,TA4,,,10.00
Swiss Camp 10m,TA4,,,11.00
Swiss Camp 10m,TA4,,,12.00
